,model,prompt_version,criterial_score,embedding_cosine_distance,score
,,,mean,mean,mean
5,gpt_4o_mini,v3_summary_expert,0.6854838709677419,0.08698013218487995,8.733870967741936
4,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q8_0,v3_summary_expert,0.3870967741935484,0.136306064808532,6.887096774193548
2,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q8_0,v3_summary_expert,0.5161290322580645,0.13529140508514167,6.806451612903226
1,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v2_Q4_k_m,v3_summary_expert,0.4274193548387097,0.15057573361178445,6.314516129032258
10,phi4_latest,v1_summary_expert_one_shot,0.2903225806451613,0.16208828615213605,6.193548387096774
3,finetune_qlora_unsloth_llama_3_1_8B_Instruct_bnb_4bit_v3_Q4_k_m,v3_summary_expert,0.3951612903225806,0.14486610004274839,6.17741935483871
11,phi4_latest,v3_summary_expert,0.28225806451612906,0.1671217155067077,5.532258064516129
6,llama3_1_8b_instruct_fp16,v1_summary_expert_one_shot,0.14516129032258066,0.18023641902882248,5.129032258064516
0,finetune_qlora_litgpt_llama_3_2_3b_bnb_nf4_v2_q8_0,v3_summary_expert,0.1935483870967742,0.19487882900102693,4.209677419354839
8,llama3_2_3b_instruct_fp16,v1_summary_expert_one_shot,0.04838709677419355,0.20669077299434285,3.7903225806451615
7,llama3_1_8b_instruct_fp16,v3_summary_expert,0.08064516129032258,0.3099566872580457,3.6451612903225805
9,llama3_2_3b_instruct_fp16,v3_summary_expert,0.04838709677419355,0.38425639354083757,2.7016129032258065
